Code,"Code Name","Code Description"
AM,"Ampoule","Ampoule"
BA,"Barrel","Barrel"
BC,"Bottlecrate","Bottlecrate"
BE,"Bundle","Bundle"
BF,"Balloon, non- protected","Balloon, non-protected"
BG,"Bag","Bag"
BJ,"Bucket","Bucket"
BK,"Basket","Basket"
BL,"Bale","Bale"
BQ,"Bottle, protected cylindrical","Bottle, protected cylindrical"
BR,"Bar","Bar"
BV,"Bottle, bulbous","Bottle, bulbous"
BZ,"Bag","Bag"
CA,"Can","Can"
CH,"Chest","Chest"
CJ,"Coffin","Coffin"
CL,"Coil","Coil"
CR,"Wooden Box, Wooden Case","Wooden Box, Wooden Case"
CS,"Cassette","Cassette"
CT,"Carton","Carton"
CTN,"Container","Container"
CY,"Cylinder","Cylinder"
DR,"Drum","Drum"
GT,"Extra Countable Item","Extra Countable Item"
HH,"Hand Baggage","Hand Baggage"
IZ,"Ingots","Ingots"
JR,"Jar","Jar"
JU,"Jug","Jug"
JY,"Jerry CAN Cylindrical","Jerry CAN Cylindrical"
KZ,"Canester","Canester"
LZ,"Logs, in bundle/bunch/truss","Logs, in bundle/bunch/truss"
NT,"Net","Net"
OU,"Non-Exterior Packaging Unit","Non-Exterior Packaging Unit"
PD,"Poddon","Poddon"
PG,"Plate","Plate"
PI,"Pipe","Pipe"
PO,"Pilot","Pilot"
PU,"Traypack","Traypack"
RL,"Reel","Reel"
RO,"Roll","Roll"
RZ,"Rods, in bundle/bunch/truss","Rods, in bundle/bunch/truss"
SK,"Skeletoncase","Skeletoncase"
TY,"Tank, cylindrical","Tank, cylindrical"
VG,"Bulk,gas(at 1031 mbar 15 oC)","Bulk,gas(at 1031 mbar 15 oC)"
VL,"Bulk,liquid(at normal temperature/pressure )","Bulk,liquid(at normal temperature/pressure)"
VO,"Bulk, solid, large particles(nodules)","Bulk, solid, large particles(nodules)"
VQ,"Bulk, gas (liquefied at abnormal temperature/pressure )","Bulk, gas(liquefied at abnormal temperature/pressure)"
VR,"Bulk, solid, granular particles(grains)","Bulk, solid, granular particles(grains)"
VT,"Extra Bulk Item","Extra Bulk Item"
VY,"Bulk, fine particles(powder)","Bulk, fine particles(powder)"
ML,"Mills","cigarette Mills"
TN,"TAN","1 TAN refers to 20 bags"
