Code,Code Name,Code Description
4B,Pair,Pair
AV,Cap,Cap
BA,Barrel,Barrel
BE,bundle,bundle
BG,bag,bag
BL,block,block
BLL,BLL Barrel,"BLL Barrel (petroleum) (158,987 dm3)"
BX,box,box
CA,Can,Can
CEL,Cell,Cell
CMT,centimetre,centimetre
CR,CARAT,CARAT
DR,Drum,Drum
DZ,Dozen,Dozen
GLL,Gallon,Gallon
GRM,Gram,Gram
GRO,Gross,Gross
KG,Kilo-Gramme,Kilo-Gramme
KTM,kilometre,kilometre
KWT,kilowatt,kilowatt
L,Litre,Litre
LBR,pound,pound
LK,link,link
LTR,Litre,Litre
M,Metre,Metre
M2,Square Metre,Square Metre
M3,Cubic Metre,Cubic Metre
MGM,milligram,milligram
MTR,metre,metre
MWT,megawatt hour (1000 kW.h),megawatt hour (1000 kW.h)
NO,Number,Number
NX,part per thousand,part per thousand
PA,packet,packet
PG,plate,plate
PR,pair,pair
RL,reel,reel
RO,roll,roll
SET,set,set
ST,sheet,sheet
TNE,tonne (metric ton),tonne (metric ton)
TU,tube,tube
U,Pieces/item [Number],Pieces/item [Number]
YRD,yard,yard
